epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.12808,3.42593,7.31463,3.5119,0,0,0,0,3.62313,9.54916,3.65732,0,0,0
2,11.9986,3.53697,6.48507,3.50623,0,0,0,0,3.58615,9.00766,3.5817,1.17822e-06,1.17822e-06,1.17822e-06
3,15.0484,4.16596,7.90136,3.85464,0,0,0,0,3.50577,8.39126,3.64679,2.33288e-06,2.33288e-06,2.33288e-06
4,17.8974,3.48975,6.93443,3.50621,0,0,0,0,3.56464,8.59764,3.63726,3.46397e-06,3.46397e-06,3.46397e-06
5,20.7797,4.41346,8.01777,3.94078,0,0,0,0,3.59792,8.22649,3.62274,4.5715e-06,4.5715e-06,4.5715e-06
6,23.5588,3.96983,7.30213,4.03708,0,0,0,0,3.67189,7.89709,3.72501,5.65548e-06,5.65548e-06,5.65548e-06
7,26.8464,3.11282,6.4241,3.36339,0,0,0,0,3.69088,7.91868,3.69644,6.71588e-06,6.71588e-06,6.71588e-06
8,29.8587,3.56016,6.47524,3.53761,0,0,0,0,3.60335,7.84013,3.62175,7.75273e-06,7.75273e-06,7.75273e-06
9,32.7062,3.03861,6.19863,3.30805,0,0,0,0,3.52843,7.78652,3.56814,8.76602e-06,8.76602e-06,8.76602e-06
10,35.563,3.5764,6.53517,3.64308,0,0,0,0,3.53917,7.68274,3.52549,9.75574e-06,9.75574e-06,9.75574e-06
11,38.4091,3.16401,5.9857,3.43806,0,0,0,0,3.62143,7.71322,3.55151,1.07219e-05,1.07219e-05,1.07219e-05
12,42.1194,3.52243,6.4056,3.46466,0,0,0,0,3.80771,7.65093,3.57719,1.16645e-05,1.16645e-05,1.16645e-05
13,44.9464,3.23773,5.85575,3.57988,0,0,0,0,3.86504,7.91047,3.61994,1.25835e-05,1.25835e-05,1.25835e-05
14,48.3518,3.8583,6.52464,3.91687,0,0,0,0,3.88717,8.13862,3.6292,1.3479e-05,1.3479e-05,1.3479e-05
15,51.5617,3.37808,9.03382,3.37722,0,0,0,0,3.95434,8.32011,3.59672,1.43509e-05,1.43509e-05,1.43509e-05
16,54.466,3.54902,6.30714,3.67322,0,0,0,0,4.06522,8.29073,3.55224,1.51993e-05,1.51993e-05,1.51993e-05
17,57.2496,2.97087,5.87823,3.22214,0,0,0,0,4.06534,8.35587,3.54891,1.60241e-05,1.60241e-05,1.60241e-05
18,60.4676,3.74421,6.25169,3.53668,0,0,0,0,4.06534,8.35587,3.54891,1.68253e-05,1.68253e-05,1.68253e-05
19,63.5605,3.1721,6.05882,3.38854,0,0,0,0,4.14752,8.61317,3.51563,1.7603e-05,1.7603e-05,1.7603e-05
20,66.874,3.45164,6.30259,3.5666,0,0,0,0,4.14752,8.61317,3.51563,1.83571e-05,1.83571e-05,1.83571e-05
21,70.0362,3.45505,6.19348,3.54803,0,0,0,0,4.15792,8.79093,3.50815,1.90876e-05,1.90876e-05,1.90876e-05
22,73.9371,3.54426,6.34092,3.41659,0,0,0,0,4.15792,8.79093,3.50815,1.97946e-05,1.97946e-05,1.97946e-05
23,77.0664,3.39846,5.96958,3.52091,0,0,0,0,4.13808,9.00501,3.48843,2.0478e-05,2.0478e-05,2.0478e-05
24,80.262,4.05011,6.85277,3.95059,0,0,0,0,4.13808,9.00501,3.48843,2.11379e-05,2.11379e-05,2.11379e-05
25,83.614,3.11889,6.49719,3.5293,0,0,0,0,4.10251,9.036,3.44658,2.17741e-05,2.17741e-05,2.17741e-05
26,86.584,2.95434,5.63182,3.31285,0,0,0,0,4.10251,9.036,3.44658,2.23869e-05,2.23869e-05,2.23869e-05
27,89.6755,3.22232,5.77674,3.44303,0,0,0,0,4.0565,9.01738,3.42005,2.2976e-05,2.2976e-05,2.2976e-05
28,92.7862,3.57722,6.74019,3.83123,0,0,0,0,4.0565,9.01738,3.42005,2.35417e-05,2.35417e-05,2.35417e-05
29,95.7657,3.3603,6.73576,3.47466,0,0,0,0,4.01643,9.11533,3.35606,2.40837e-05,2.40837e-05,2.40837e-05
